"","diff","lwr","upr","p adj"
"InSitu-Cold",0.371545719875,0.275687946247059,0.467403493502941,0
"Warm-Cold",0.461340385625,0.365482611997059,0.557198159252941,0
"Warm-InSitu",0.0897946657499999,-0.00606310787794143,0.185652439377941,0.069
"In-Control",0.207046605166667,0.0844707316084305,0.329622478724903,0.001
"InOrg-Control",0.334079496333333,0.211503622775097,0.456655369891569,0
"Org-Control",0.118340347,-0.00423552655823611,0.240916220558236,0.061
"InOrg-In",0.127032891166667,0.00445701760843054,0.249608764724903,0.041
"Org-In",-0.0887062581666667,-0.211282131724903,0.0338696153915694,0.209
"Org-InOrg",-0.215739149333333,-0.338315022891569,-0.0931632757750972,0.001
